date,diluted_shares_m,sbc_pct_rev,insider_net_flow_m
2012-06-21,125.0,15.2,0.0
2012-06-22,125.0,15.2,0.0
2012-06-25,125.0,15.2,0.0
2012-06-26,125.0,15.2,0.0
2012-06-27,125.0,15.2,0.0
2012-06-28,125.0,15.2,0.0
2012-06-29,125.0,15.2,0.0
2012-07-02,125.0,15.2,0.0
2012-07-03,125.0,15.2,0.0
2012-07-05,125.0,15.2,0.0
2012-07-06,125.0,15.2,0.0
2012-07-09,125.0,15.2,0.0
2012-07-10,125.0,15.2,0.0
2012-07-11,125.0,15.2,0.0
2012-07-12,125.0,15.2,0.0
2012-07-13,125.0,15.2,0.0
2012-07-16,125.0,15.2,0.0
2012-07-17,125.0,15.2,0.0
2012-07-18,125.0,15.2,0.0
2012-07-19,125.0,15.2,0.0
2012-07-20,125.0,15.2,0.0
2012-07-23,125.0,15.2,0.0
2012-07-24,125.0,15.2,0.0
2012-07-25,125.0,15.2,0.0
2012-07-26,125.0,15.2,0.0
2012-07-27,125.0,15.2,0.0
2012-07-30,125.0,15.2,0.0
2012-07-31,125.0,15.2,0.0
2012-08-01,125.0,15.2,0.0
2012-08-02,125.0,15.2,0.0
2012-08-03,125.0,15.2,0.0
2012-08-06,125.0,15.2,0.0
2012-08-07,125.0,15.2,0.0
2012-08-08,125.0,15.2,0.0
2012-08-09,125.0,15.2,0.0
2012-08-10,125.0,15.2,0.0
2012-08-13,125.0,15.2,0.0
2012-08-14,125.0,15.2,0.0
2012-08-15,125.0,15.2,0.0
2012-08-16,125.0,15.2,0.0
2012-08-17,125.0,15.2,0.0
2012-08-20,125.0,15.2,0.0
2012-08-21,125.0,15.2,0.0
2012-08-22,125.0,15.2,0.0
2012-08-23,125.0,15.2,0.0
2012-08-24,125.0,15.2,0.0
2012-08-27,125.0,15.2,0.0
2012-08-28,125.0,15.2,0.0
2012-08-29,125.0,15.2,0.0
2012-08-30,125.0,15.2,0.0
2012-08-31,125.0,15.2,0.0
2012-09-04,125.0,15.2,0.0
2012-09-05,125.0,15.2,0.0
2012-09-06,125.0,15.2,0.0
2012-09-07,125.0,15.2,0.0
2012-09-10,125.0,15.2,0.0
2012-09-11,125.0,15.2,0.0
2012-09-12,125.0,15.2,0.0
2012-09-13,125.0,15.2,0.0
2012-09-14,125.0,15.2,0.0
2012-09-17,125.0,15.2,0.0
2012-09-18,125.0,15.2,0.0
2012-09-19,125.0,15.2,0.0
2012-09-20,125.0,15.2,0.0
2012-09-21,125.0,15.2,0.0
2012-09-24,125.0,15.2,0.0
2012-09-25,125.0,15.2,0.0
2012-09-26,125.0,15.2,0.0
2012-09-27,125.0,15.2,0.0
2012-09-28,125.0,15.2,0.0
2012-10-01,125.0,15.2,0.0
2012-10-02,125.0,15.2,0.0
2012-10-03,125.0,15.2,0.0
2012-10-04,125.0,15.2,0.0
2012-10-05,125.0,15.2,0.0
2012-10-08,125.0,15.2,0.0
2012-10-09,125.0,15.2,0.0
2012-10-10,125.0,15.2,0.0
2012-10-11,125.0,15.2,0.0
2012-10-12,125.0,15.2,0.0
2012-10-15,125.0,15.2,0.0
2012-10-16,125.0,15.2,0.0
2012-10-17,125.0,15.2,0.0
2012-10-18,125.0,15.2,0.0
2012-10-19,125.0,15.2,0.0
2012-10-22,125.0,15.2,0.0
2012-10-23,125.0,15.2,0.0
2012-10-24,125.0,15.2,0.0
2012-10-25,125.0,15.2,0.0
2012-10-26,125.0,15.2,0.0
2012-10-31,125.0,15.2,0.0
2012-11-01,125.0,15.2,0.0
2012-11-02,125.0,15.2,0.0
2012-11-05,125.0,15.2,0.0
2012-11-06,125.0,15.2,0.0
2012-11-07,125.0,15.2,0.0
2012-11-08,125.0,15.2,0.0
2012-11-09,125.0,15.2,0.0
2012-11-12,125.0,15.2,0.0
2012-11-13,125.0,15.2,0.0
2012-11-14,125.0,15.2,0.0
2012-11-15,125.0,15.2,0.0
2012-11-16,125.0,15.2,0.0
2012-11-19,125.0,15.2,0.0
2012-11-20,125.0,15.2,0.0
2012-11-21,125.0,15.2,0.0
